,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,20947,Sui,SUI,sui,628,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm', 'cmc-crypto-yearbook-2024-2025', 'made-in-america', 'world-liberty-financial-portfolio']",10000000000.0,3249982900.4588876,10000000000.0,False,,11,3249982900.4588876,11481433311.29898,,2025-05-01T09:21:00.000Z,3.5327672984611205,1417570479.2330856,12.9782,0.96407516,0.18991127,17.42576664,45.87440726,23.99215311,-14.35425126,11481433311.29898,0.3859,35327672984.61,,2025-05-01T09:21:00.000Z,,,,,,2025-05-01 17:22:04.416424
11,1975,Chainlink,LINK,chainlink,2000,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'polkadot', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'cross-chain', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'gnosis-chain-ecosystem', 'sora-ecosystem', 'hoo-smart-chain-ecosystem', 'milkomeda-ecosystem', 'energi-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,657099970.4527867,1000000000.0,False,,12,,,,2025-05-01T09:21:00.000Z,14.896198002636407,297154798.649154,12.3451,0.64608774,2.56862479,3.77154206,6.34146894,1.15081283,-39.84384044,9788291267.391243,0.329,14896198002.64,,2025-05-01T09:21:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-05-01 17:22:04.416424
12,5805,Avalanche,AVAX,avalanche,909,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1', 'made-in-america']",715748719.0,416969358.0790286,453638858.0790286,False,,13,,,,2025-05-01T09:21:00.000Z,21.30479339916223,320957669.80751985,21.4356,-0.03327898,-0.85506892,-2.76063092,8.11616857,-2.59782542,-38.08365122,8883446027.655,0.2986,15248878584.01,,2025-05-01T09:21:00.000Z,,,,,,2025-05-01 17:22:04.416424
13,512,Stellar,XLM,stellar,704,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'smart-contracts', 'hashkey-capital-portfolio', 'real-world-assets', '2017-2018-alt-season', 'made-in-america']",50001806812.0,30894912214.92716,50001786892.81785,False,,14,,,,2025-05-01T09:21:00.000Z,0.2732825981606851,159254616.5966194,2.5721,0.40308816,-1.44972294,4.5284005,-0.31269138,-14.62556134,-34.7043715,8443041880.041581,0.2838,13664623678.31,,2025-05-01T09:21:00.000Z,,,,,,2025-05-01 17:22:04.416424
14,3957,UNUS SED LEO,LEO,unus-sed-leo,60,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'ethereum-ecosystem', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,923562148.9,985239504.0,False,,15,,,,2025-05-01T09:21:00.000Z,8.950712641095835,2562188.38034382,0.2964,0.02051823,-1.05314979,-3.17136679,-2.68827539,-8.527559,-8.14957089,8266539400.996864,0.2779,8818595682.96,,2025-05-01T09:21:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2025-05-01 17:22:04.416424
0,1,Bitcoin,BTC,bitcoin,12055,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve']",21000000.0,19858493.0,19858493.0,False,,1,,,,2025-05-01T09:33:00.000Z,95421.35310351527,29180860608.134613,18.2525,0.31112774,0.62298449,3.13442706,13.15617498,10.93155702,-8.49674089,1894924272656.6863,63.613,2003848415173.82,,2025-05-01T09:33:00.000Z,,,,,,2025-05-01 17:34:38.052350
1,1027,Ethereum,ETH,ethereum,10157,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve']",,120732850.38493092,120732850.38493092,True,,2,,,,2025-05-01T09:33:00.000Z,1820.4948512969522,15137083586.980345,20.4073,0.30560717,0.89379351,4.28504938,-3.35019856,-19.0772807,-44.28596225,219793532508.172,7.3785,219793532508.17,,2025-05-01T09:33:00.000Z,,,,,,2025-05-01 17:34:38.052350
2,825,Tether USDt,USDT,tether,126390,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio']",,148686251589.6457,151514597812.89557,True,,3,,,,2025-05-01T09:32:00.000Z,1.0001143059153008,60750069461.45909,11.6231,-0.00523515,-0.03329484,0.01369092,0.02637234,0.07563623,0.02082704,148703247307.7263,4.9922,151531916827.68,,2025-05-01T09:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-05-01 17:34:38.052350
3,52,XRP,XRP,xrp,1597,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve']",100000000000.0,58444738299.0,99986207937.0,False,,4,,,,2025-05-01T09:33:00.000Z,2.209275836142319,3304473120.724928,11.9207,0.0429822,-0.95328752,2.86931921,1.29129305,-2.28952185,-28.18980679,129120548073.64223,4.3346,220927583614.23,,2025-05-01T09:33:00.000Z,,,,,,2025-05-01 17:34:38.052350
4,1839,BNB,BNB,bnb,2505,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,140890066.82999998,140890066.82999998,False,,5,,,,2025-05-01T09:33:00.000Z,601.5306547646065,1460798891.1653304,-7.1099,-0.00641662,-0.29797326,0.8926266,-2.56309829,-1.14529912,-11.33901692,84749694150.07906,2.8452,84749694150.08,,2025-05-01T09:33:00.000Z,,,,,,2025-05-01 17:34:38.052350
